,col,LONGITUDE,LATITUDE
0,0,-77.898278,18.332489
1,1,-76.732,18.0289
2,2,-76.689639,18.183306
3,3,-76.64699999999998,18.1345
4,4,-76.71727800000002,18.115556
5,5,-76.82475,18.142083
6,6,-76.813278,18.209528
7,7,-76.67733299999998,18.06325
8,8,-77.296589,18.110936
9,9,-77.2192,18.1951
10,10,-77.34098399999998,17.900903
11,11,-77.3957,18.0906
12,26,-77.257147,18.106403
13,13,-76.580028,18.150333
14,12,-76.94936899999998,18.169858
15,14,-76.943067,18.113806
16,51,-76.971,18.214633
17,15,-77.017306,18.376056
18,16,-77.0426,18.3534
19,17,-76.603667,17.961111
20,18,-76.6162,18.0193
21,19,-76.586,17.919082999999997
22,20,-76.447611,18.080778
23,21,-76.2688,17.9439
24,22,-77.0054,18.098292
25,23,-76.980878,18.044311
26,24,-77.382692,18.003664
27,25,-76.978367,18.042775
28,28,-77.19322199999998,18.427889
29,43,-77.4591,18.1811
30,46,-77.2783,18.0974
31,27,-77.2285,18.1264
32,29,-77.419478,18.202953
33,30,-77.093961,18.062103
34,31,-77.133,18.409556
35,32,-77.13161099999998,18.404611
36,48,-78.0261,18.1671
37,33,-78.064581,18.31975
38,34,-78.218942,18.440522
39,35,-78.076656,18.358694
40,49,-77.45275,18.450111
41,36,-77.530175,18.282681
42,37,-77.568703,18.299561
43,38,-77.62795799999998,18.205494
44,47,-77.65610799999997,18.468628
45,52,-77.73899999999998,18.1646
46,39,-77.682606,18.382347
47,40,-77.711058,18.378136
48,41,-77.8095,18.1132
49,42,-77.9152,18.461
50,44,-77.96592199999998,18.392203
51,45,-76.481806,17.972444
52,50,-76.2597,17.9977
